personid,quarter,move_flag,rate_gap,move_flag_fd,rate_gap_fd,move_flag_fd_lag1,rate_gap_fd_lag1
A000000,2012Q1,0,3.9005486104568456,,,,
A000000,2012Q2,0,3.768669820825325,0.0,-0.13187878963152055,,
A000000,2012Q3,0,3.52640715279014,0.0,-0.24226266803518515,0.0,-0.13187878963152055
A000000,2012Q4,0,3.286660127188675,0.0,-0.23974702560146488,0.0,-0.24226266803518515
A000000,2013Q1,0,3.4693149733576467,0.0,0.18265484616897165,0.0,-0.23974702560146488
A000000,2013Q2,0,3.541512901438969,0.0,0.07219792808132208,0.0,0.18265484616897165
A000000,2013Q3,0,4.357234406945655,0.0,0.8157215055066862,0.0,0.07219792808132208
A000000,2013Q4,0,4.262125047150928,0.0,-0.09510935979472723,0.0,0.8157215055066862
A000000,2014Q1,1,4.241731428123126,1.0,-0.02039361902780179,0.0,-0.09510935979472723
A000000,2014Q2,0,4.11448680832271,-1.0,-0.12724461980041557,1.0,-0.02039361902780179
A000000,2014Q3,0,4.077945163741916,0.0,-0.036541644580794674,-1.0,-0.12724461980041557
A000000,2014Q4,0,3.9330951602393713,0.0,-0.1448500035025444,0.0,-0.036541644580794674
A000000,2015Q1,1,3.649128319774421,1.0,-0.28396684046495047,0.0,-0.1448500035025444
A000000,2015Q2,1,3.7733937915201867,0.0,0.12426547174576585,1.0,-0.28396684046495047
A000000,2015Q3,0,3.5207458821051505,-1.0,-0.25264790941503623,0.0,0.12426547174576585
A000000,2015Q4,0,3.8646796112076083,0.0,0.3439337291024578,-1.0,-0.25264790941503623
A000000,2016Q1,0,3.6498364019590968,0.0,-0.21484320924851152,0.0,0.3439337291024578
A000000,2016Q2,0,3.3740686621939697,0.0,-0.27576773976512703,0.0,-0.21484320924851152
A000000,2016Q3,0,3.4221432492647184,0.0,0.04807458707074863,0.0,-0.27576773976512703
A000000,2016Q4,0,3.7630857786947227,0.0,0.34094252943000436,0.0,0.04807458707074863
A000000,2017Q1,0,4.115833199520401,0.0,0.35274742082567867,0.0,0.34094252943000436
A000000,2017Q2,0,3.605477970249751,0.0,-0.5103552292706506,0.0,0.35274742082567867
A000000,2017Q3,0,3.7661828652420217,0.0,0.16070489499227092,0.0,-0.5103552292706506
A000000,2017Q4,0,3.8876831148020132,0.0,0.1215002495599915,0.0,0.16070489499227092
A000000,2018Q1,0,4.252844657555154,0.0,0.3651615427531407,0.0,0.1215002495599915
A000000,2018Q2,0,4.410610216749705,0.0,0.15776555919455149,0.0,0.3651615427531407
A000000,2018Q3,0,,0.0,,0.0,0.15776555919455149
A000000,2018Q4,0,4.716149030381593,0.0,,0.0,
A000000,2019Q1,0,4.272901859308957,0.0,-0.44324717107263556,0.0,
A000000,2019Q2,0,3.8950199956569316,0.0,-0.3778818636520258,0.0,-0.44324717107263556
