personid,T_i,corr,sd_y,sd_x,sd_ratio,beta
A963000,48,0.2704825450590577,0.4586311559783554,0.21446670029676315,2.1384725710039625,0.5784195035441383
A803000,49,0.2640653168647491,0.31657750176828797,0.13369687207515296,2.367875155600762,0.6252737032598823
A939000,50,0.2550637663796464,0.3742560206323899,0.25183117900979657,1.486138539731138,0.37906009330577184
A632000,48,0.2319286789285161,0.41367054206927345,0.22963903199887042,1.8013947301054127,0.4177950999821392
A859000,48,0.22634852598232194,0.3813321740298799,0.1902919028493366,2.0039327387030186,0.45358722157314585
A633000,50,0.21975248607423686,0.3533314013552623,0.3360271284084572,1.0514966545372817,0.23106900393331062
A266000,49,0.21883869670476805,0.33314324129072026,0.10463911126836078,3.183735385866672,0.6967245024959142
A401000,51,0.21605442763607954,0.37646945453260666,0.401410184581293,0.9378672215935383,0.2026303657600321
A931000,49,0.21567381706290945,0.33305732407867716,0.4025306462607383,0.8274086139094613,0.17845037403258462
A417000,46,0.21494861553443878,0.42046867799961507,0.28095439496709046,1.4965727019464017,0.3216862303300133
A250000,47,0.20770574274609757,0.38481516881947564,0.2012737532815633,1.911899403401868,0.39711248563940577
A820000,50,0.2062201346061218,0.38941795604439694,0.18098239575308286,2.1516896956966245,0.44372173867716314
A239000,47,0.20503705162567704,0.3159823617133851,0.6877709381572266,0.45942965045893025,0.09420010095951442
A024000,50,0.20357141657134975,0.40694362092585373,0.28041584972507194,1.4512147630914352,0.29542584507177916
A083000,48,0.20262344612252486,0.31196350259341976,0.11032938366612734,2.82756498973534,0.5729309623555763
A086000,49,0.20235808802294275,0.3101150118556522,0.20310285525406443,1.5268865199739543,0.30897783680993424
A618000,51,0.20221031630929687,0.3317721802801482,0.22322231667168269,1.4862858930369476,0.300542340557047
A366000,48,0.19775002741099343,0.3986340990768458,1.5032125724180414,0.26518810871546267,0.05244095576755224
A352000,49,0.1968727120933981,0.39368238216512924,0.6136634900174762,0.6415281152768559,0.12629937993872078
A780000,48,0.1960864203155328,0.3371351133642424,0.3781766434874943,0.8914752382781432,0.17480618827389777
A889000,48,0.1957734504765095,0.41474874903089826,0.6468465751732667,0.641185661251746,0.1255271292993167
A666000,51,0.19523316951243533,0.37144740107410346,0.183525072994947,2.023959969133648,0.3951441197402529
A927000,49,0.19318972524872768,0.3567647844092208,0.38345644852521826,0.9303919279004066,0.17974216092471362
A118000,48,0.19132409527387223,0.29133390642948,0.27840844429889217,1.046426257519371,0.20020655699071768
A489000,49,0.18725445581439348,0.3348968124661685,0.4747685748068045,0.7053895945039045,0.13208734465596433
A597000,50,0.18709600041474012,0.44315479582333817,0.1337929388046486,3.3122435293120334,0.6197075167338844
A154000,46,0.18573635841990568,0.3840579043751651,0.3349538947125589,1.1465993094504692,0.2129651803041087
A839000,49,0.18457381934175054,0.3599600093528909,0.5734256338741542,0.6277361667997717,0.11586366184518405
A035000,49,0.18422040290805347,0.35740823711714265,0.39140730121343786,0.9131363569588723,0.1682183475889556
A255000,48,0.18320494762783082,0.33866439210333793,0.43513387008247073,0.7782993128968586,0.1425882848580457
A253000,51,0.18276787059265884,0.36993671318849375,0.26767659147105805,1.382028630727287,0.2525904299361143
A946000,50,0.18165846708328318,0.39081017679394464,0.1510153433711328,2.587883906825918,0.47011102350349426
A293000,51,0.1792224761561393,0.37219517755618275,0.20039523113948668,1.85730556281109,0.3328709019455754
A502000,50,0.1789100418681052,0.39089769839722116,0.3306890229829474,1.1820703779979371,0.21148426081865787
A017000,44,0.1781275428293951,0.2562057510911447,0.3151456485302269,0.8129756900849955,0.14481336205487208
A588000,49,0.17798375860000992,0.419743975659021,0.12111297431209904,3.4657226283401505,0.6168423396570852
A406000,46,0.17578582269846713,0.2887392660656252,0.3219847772434523,0.8967481895807446,0.15763561825881217
A396000,47,0.17536618527916834,0.3180149665722075,0.1260273423973473,2.5233807245537956,0.4425156516719829
A810000,50,0.17473731381612936,0.4071919769868372,0.11014358813469582,3.696919483764026,0.6459897799874375
A198000,50,0.17349053222475905,0.38927587195945745,0.5626931226392303,0.6918084765877635,0.12002222080081082
A700000,47,0.1723598139885122,0.2880205547578111,0.2539182374327985,1.134304324375432,0.19550848235571447
A204000,50,0.17070071620205526,0.4062840948330192,0.23206151393195018,1.7507603391407596,0.2988560437894808
A358000,48,0.17018247872131406,0.39593498228248974,0.5626127473358515,0.7037433548339715,0.11976478850929853
A099000,50,0.16914302503937792,0.38933789375066497,0.2069015207178565,1.8817546260647828,0.3182856698344408
A877000,48,0.16882249822511888,0.43785661403061454,0.20020908081939254,2.1869967747646895,0.36921425912605255
A265000,50,0.16879385098293956,0.3737321839313848,0.25228780477125706,1.4813723725973924,0.25004654751044786
A776000,49,0.16822502900100209,0.41060350990577127,0.22249762534186793,1.8454287288454354,0.31044730142930577
A606000,47,0.16789211163514606,0.3986779191982473,0.42064585035385177,0.947775709335716,0.15912406519687178
A702000,50,0.1677656161739861,0.38910760066845157,0.15078018089536938,2.58062829184735,0.432940695497792
A152000,51,0.16746896034900208,0.4191997923214573,0.612185504807689,0.6847594218245074,0.11467594846213404
A773000,49,0.16638878938219556,0.33452652981439285,0.21889434990672982,1.5282556628662802,0.2542846096108051
A409000,49,0.1656756130576967,0.33352121830735826,0.3789545104907252,0.880108849675563,0.14581257322750316
A205000,51,0.1638671344139078,0.3114932964374838,0.27848202549872,1.1185400417841889,0.18329195137438772
A710000,48,0.16351413856854047,0.36173990499424896,0.34533864408690407,1.0474932683850393,0.17127995943632465
A462000,48,0.16297316168210155,0.3618099834108294,0.11897793578817895,3.040983868260867,0.4955987556347409
A574000,47,0.16154941755027213,0.42923696902546543,0.4129014010990969,1.0395628784084654,0.16794077751377195
A605000,49,0.16051730839619624,0.3701041899175931,0.3600465583474499,1.0279342527708248,0.165001239463028
A110000,45,0.1601336997263882,0.26636634224846856,0.3688601694682692,0.7221336546920999,0.11563793382278402
A879000,48,0.15986929954915877,0.4089258888056135,1.1044730461019276,0.3702452407044755,0.059190847292834185
A465000,49,0.15977877400271695,0.3575558766570237,0.39990088738924856,0.8941112358897874,0.14285999709252428
A145000,46,0.15892230564265533,0.34607174774802407,0.2686345472828209,1.2882622553519767,0.20473360789294334
A667000,50,0.15831782415688003,0.33183503646928453,0.7539569267648935,0.4401246605600332,0.06967957861764985
A967000,49,0.15763108892221414,0.4455859419154211,0.2876619200043498,1.548991753613698,0.24416925685365726
A160000,50,0.156501923333036,0.4044277771602434,0.27173848284162183,1.4882977667758501,0.2329214629926828
A955000,46,0.15594657006432186,0.34759005019587236,0.2620901308250373,1.3262233457692154,0.20681998191193832
A554000,49,0.1559233456548016,0.41689117182984325,0.5024781114940092,0.8296703125839813,0.12936497092855942
A825000,47,0.15490040318147025,0.36125775633540164,0.2841611952583699,1.2713127702286466,0.19692686067816922
A067000,48,0.15397014876925336,0.3380318812600772,0.40057095034713136,0.843875176088385,0.12993158640500851
A873000,49,0.15383965599105145,0.4304243545618672,0.7397091856404157,0.5818832088575729,0.08951671267761817
A235000,50,0.15378555977916497,0.3811360440599034,0.1920744925624574,1.9843136846292506,0.3051587907681667
A254000,49,0.1509218880349645,0.3766189328462276,0.3925869904256385,0.9593260653846464,0.14478330102900464
A115000,51,0.1504597351768033,0.4626825397062435,0.1501392520558406,3.0816893874904885,0.46367016913898407
A258000,49,0.14892480754586385,0.3108180437048612,0.3327500998335299,0.934088506240446,0.13910895102266188
A335000,50,0.1488309037263798,0.3111792114403741,0.2938323713848011,1.059036517909239,0.15761736203967044
A304000,49,0.14767229759614078,0.30932653282827943,0.3909825315723554,0.7911517979698675,0.11683120375352811
A791000,46,0.14725416338261196,0.4010290127685596,0.2557663472314915,1.5679506593007422,0.23088726256054562
A079000,48,0.14711921392663482,0.38117937550719705,0.17577778444920006,2.1685298668521917,0.3190324093877245
A006000,48,0.1456815585964811,0.33971384430228674,0.35208230192134987,0.9648705500061572,0.14056384556874094
A472000,47,0.14534187489069877,0.3693826662372759,0.22096301435944407,1.6716945471987235,0.2429672197344202
A150000,47,0.14417708997227188,0.40068635841120953,0.7817562125128578,0.5125464332713817,0.07389745322473505
A211000,45,0.14415791813982695,0.4048261068257292,0.41820195020281553,0.9680158273518347,0.13954714639744265
A302000,51,0.14386596909666066,0.2765243583923733,0.4905522565875003,0.5637001046860936,0.08109726184055391
A459000,46,0.14301300110754778,0.289623987449728,0.27379486182343876,1.0578138154999304,0.1512811283676709
A913000,50,0.14263607168088108,0.33115937343255875,0.5642948710963492,0.586855189360769,0.08370671885595968
A577000,49,0.14180572688470114,0.40777275730318163,0.10060786674773765,4.053090185538112,0.5747513998894802
A256000,47,0.1412422116631021,0.36530088342372957,0.4136373839053646,0.8831428145462455,0.12473704434088854
A221000,50,0.1411140494018293,0.40550776635155655,0.3699210699790717,1.0962007824385298,0.15468933136735463
A474000,49,0.14109810604499126,0.42255033814364196,0.7126350969331935,0.5929406788440204,0.08366280678192269
A452000,51,0.1385758657225786,0.3073565905027744,0.29587760908452615,1.0387963842676888,0.1439521082593794
A397000,50,0.13822705645973288,0.3762413798592167,0.4649607055211191,0.8091896269761818,0.11185190025466686
A727000,45,0.13807271663466103,0.3723678709463684,1.8573036288173455,0.20048842050853954,0.027681980873406346
A865000,50,0.13788297448471903,0.26026797493258785,0.3835814006722217,0.6785208419294352,0.09355647193510638
A338000,51,0.13783202715748333,0.24312152049024824,0.17583709181807505,1.3826520785602343,0.190573738841465
A729000,45,0.13718981510467407,0.35085995364348305,0.2785028608374581,1.2598073592078989,0.17283273867723933
A636000,49,0.13711445103241676,0.37640717613363583,0.3488548689807752,1.0789792822251794,0.14794365195765652
A736000,49,0.13703208329862854,0.42253968335956965,0.27212963582038885,1.5527146908705471,0.21277172885837708
